2024-06-29T08:44:29.606Z	Log Info-	URL- /api/cart/add	Req. Body {"uid":2,"proInfo":{"pid":40,"quantity":60}}. 
2024-06-29T08:45:04.898Z	Log Info-	URL- /api/cart/items	Req. Body {"uid":2}. 
2024-06-29T08:45:09.547Z	Log Info-	URL- /api/cart/items	Req. Body {"uid":1}. 
2024-06-29T08:45:17.614Z	Log Info-	URL- /api/products/	Req. Body {}. 
2024-06-29T08:45:26.316Z	Log Info-	URL- /api/products/	Req. Body {}. 
2024-06-29T08:45:29.446Z	Log Info-	URL- /api/products/	Req. Body {}. 
2024-06-29T08:45:35.246Z	Log Info-	URL- /api/users/signin	Req. Body {"email":"johndoe@gmail.com","pass":"Password1"}. 
2024-06-29T08:45:40.850Z	Log Info-	URL- /api/users/signin	Req. Body {"email":"johndoe@gmail.com","pass":"Password1"}. 
2024-06-29T08:45:43.841Z	Log Info-	URL- /api/users/signin	Req. Body {"email":"johndoe@gmail.com","pass":"Password1"}. 
2024-06-29T08:45:51.877Z	Log Info-	URL- /api/users/register	Req. Body {"email":"johndoe@gmail.com","pass":"Password1"}. 
2024-06-29T08:45:55.312Z	Log Info-	URL- /api/users/register	Req. Body {"email":"johndoe@gmail.com","pass":"Password1"}. 
2024-06-29T08:45:58.370Z	Log Info-	URL- /api/users/	Req. Body {"email":"johndoe@gmail.com","pass":"Password1"}. 
2024-06-29T08:46:03.366Z	Log Info-	URL- /api/users/	Req. Body {"email":"johndoe@gmail.com","pass":"Password1"}. 
2024-06-29T15:36:31.353Z	Log Info-	URL- /docs	Req. Body {}. 
2024-06-29T15:36:31.473Z	Log Info-	URL- /favicon.ico	Req. Body {}. 
2024-06-29T15:36:35.742Z	Log Info-	URL- /	Req. Body {}. 
2024-06-29T15:37:11.319Z	Log Info-	URL- /apidocs	Req. Body {}. 
2024-06-29T15:37:11.439Z	Log Info-	URL- /favicon.ico	Req. Body {}. 
2024-06-29T15:37:20.321Z	Log Info-	URL- /apidocs	Req. Body {}. 
2024-06-29T15:37:28.149Z	Log Info-	URL- /apidocs	Req. Body {}. 
2024-06-29T15:39:22.669Z	Log Info-	URL- /api-docs	Req. Body {}. 
2024-06-29T15:40:55.771Z	Log Info-	URL- /api-docs	Req. Body {}. 
2024-06-29T15:41:16.025Z	Log Info-	URL- /apidocs	Req. Body {}. 
2024-06-29T15:41:20.450Z	Log Info-	URL- /docs	Req. Body {}. 
2024-06-29T15:41:25.698Z	Log Info-	URL- /api-docs	Req. Body {}. 
2024-06-29T15:44:54.536Z	Log Info-	URL- /apidocs	Req. Body {}. 
2024-06-29T15:54:17.187Z	Log Info-	URL- /docs	Req. Body {}. 
2024-06-29T15:54:22.154Z	Log Info-	URL- /api-docs	Req. Body {}. 
2024-06-29T15:54:26.251Z	Log Info-	URL- /apidocs	Req. Body {}. 
2024-06-29T16:00:10.666Z	Log Info-	URL- /apidocs	Req. Body {}. 
2024-06-29T16:00:15.798Z	Log Info-	URL- /docs	Req. Body {}. 
2024-06-29T16:00:15.812Z	Log Info-	URL- /docs/	Req. Body {}. 
2024-06-29T16:00:15.857Z	Log Info-	URL- /docs/swagger-ui.css	Req. Body {}. 
2024-06-29T16:00:15.863Z	Log Info-	URL- /docs/swagger-ui-standalone-preset.js	Req. Body {}. 
2024-06-29T16:00:15.863Z	Log Info-	URL- /docs/swagger-ui-init.js	Req. Body {}. 
2024-06-29T16:00:15.865Z	Log Info-	URL- /docs/swagger-ui-bundle.js	Req. Body {}. 
2024-06-29T16:00:16.202Z	Log Info-	URL- /docs/favicon-32x32.png	Req. Body {}. 
2024-06-29T17:06:05.654Z	Log Info-	URL- /docs/	Req. Body {}. 
2024-06-29T17:06:05.712Z	Log Info-	URL- /docs/swagger-ui.css	Req. Body {}. 
2024-06-29T17:06:05.721Z	Log Info-	URL- /docs/swagger-ui-bundle.js	Req. Body {}. 
2024-06-29T17:06:05.721Z	Log Info-	URL- /docs/swagger-ui-standalone-preset.js	Req. Body {}. 
